氏名,ふりがな,住所,緯度,経度,年齢,性別,前職業界コード,生年月日,電話番号,通勤手段,希望通勤時間,予想事業所受取時給,予想支払時給,希望勤務時間
岩井 啓司,いわい けいじ,福岡県福岡市東区千早2-5-11,32.74442,129.87393,35歳,男,G,1988-04-25,070-9865-1619,自転車,180,1900,2150,1
松岡 なおこ,まつおか なおこ,滋賀県高島市安曇川町末広2-5-1202エーベル403,32.78919,130.74186,29歳,女,A,1993-12-26,080-2914-7633,バス,80,1250,2400,10
関川 祐希,せきかわ ゆき,埼玉県さいたま市浦和区岸町1-3-20サントピア303,33.23822,131.61226,65歳,男,I,1958-02-08,070-3668-3539,自転車,100,2000,2800,2
樋口 遼,ひぐち りょう,兵庫県尼崎市南武庫之荘1-2-4,31.91193,131.42327,31歳,男,A,1991-12-19,090-9264-3443,徒歩,70,1700,2250,9
島袋 由起子,しまぶくろ ゆきこ,北海道札幌市豊平区平岸一条2-2-14,31.5608,130.55816,4歳,女,Q,2019-03-31,090-7439-8817,バス,100,1150,2150,1
高松 さやか,たかまつ さやか,大阪府大阪市東淀川区小松1-2-9,26.21232,127.6813,25歳,女,I,1997-09-21,090-6564-2619,徒歩,80,1950,3000,4
宮本 明子,みやもと あきこ,静岡県島田市稲荷3-2-5,34.97666,138.38319,98歳,女,Q,1924-06-23,050-7781-2970,徒歩,60,1650,2500,2
北原 俊和,きたはら としかず,東京都新宿区下落合4-2-4アズ403,35.18076,136.90663,62歳,男,F,1960-06-15,070-0026-0594,バス,70,1650,2250,2
松原 勉,まつばら つとむ,埼玉県さいたま市北区宮原町3-3-8,34.73088,136.50887,29歳,男,P,1994-03-27,080-0358-7090,自転車,150,1350,2600,1
今田 宗一郎,いまだ そういちろう,千葉県四街道市鷹の台4-2-3,35.00412,135.86884,38歳,男,J,1985-05-08,070-3148-0922,バス,120,1900,2450,9
高安 和樹,たかやす かずき,和歌山県和歌山市新中通2-5-17,35.02130,135.75582,88歳,男,I,1935-04-29,070-2415-2220,徒歩,80,1450,2750,9
黒瀬 加奈子,くろせ かなこ,愛媛県今治市国分3-3-509,34.68695,135.52760,100歳,女,H,1923-04-04,050-5953-3548,自転車,160,1050,2300,8
中島 健,なかじま けん,東京都町田市金森1-4-6,34.69112,135.18370,6歳,男,E,2016-11-30,080-4919-9228,徒歩,140,1950,2700,4
橋詰 健太郎,はしづめ けんたろう,千葉県船橋市新高根2-2-901,34.68586,135.83238,72歳,男,P,1950-12-28,080-4895-6085,自転車,100,1150,2550,9
内藤 ひろみ,ないとう ひろみ,大阪府池田市畑1-4-4,34.2263,135.16788,56歳,女,K,1966-11-30,050-6234-2015,徒歩,170,1850,2200,4
山本 俊,やまもと しゅん,大阪府大阪市北区大淀中1-2-5ヴィラデステ403,35.50397,134.2385,19歳,男,T,2004-04-03,090-1572-4701,自転車,60,1050,2850,3
羽山 啓史,はやま ひろふみ,福岡県福岡市城南区別府4-2-5,35.47227,133.0502,9歳,男,I,2014-02-20,050-3291-0624,徒歩,180,1800,2150,6
飯塚 康友,いいづか やすとも,東京都荒川区荒川1-1-15,34.66185,133.93519,60歳,男,H,1962-10-28,080-6948-2662,バス,150,1100,2900,6
新家 伸一,しんや しんいち,大阪府大阪市福島区福島1-2-17,34.39613,132.45992,1歳,男,Q,2022-03-16,080-5058-2721,バス,160,1200,2950,2
西森 亮,にしもり りょう,東京都大田区山王1-5-8,34.18556,131.47140,83歳,男,J,1940-04-15,050-2828-8359,徒歩,140,1700,2550,10
北村 貴志,きたむら たかし,東京都目黒区青葉台3-2-1006,34.0652,134.55970,66歳,男,C,1956-11-23,050-6463-8492,自転車,120,1600,2500,5
古川 一成,ふるかわ いっせい,滋賀県草津市平井1-4-20,34.34019,134.0431,11歳,男,H,2011-11-30,050-4377-1428,自転車,10,1700,2300,8
山本 和恵,やまもと かずえ,兵庫県神戸市兵庫区松原通2-3-4,33.84174,132.76634,95歳,女,I,1927-10-26,090-9111-2028,徒歩,150,1200,2550,3
高瀬 ゆかり,たかせ ゆかり,大阪府大阪市西区立売堀3-1-7,33.55923,133.53150,28歳,女,T,1995-04-13,070-5237-1779,徒歩,60,1450,2900,8
原田 友美,はらだ ゆみ,兵庫県宝塚市逆瀬台1-2-9,33.60682,130.41847,46歳,女,R,1976-11-25,070-8968-4982,自転車,120,1300,2500,4
繁田 今日子,しげた きょうこ,神奈川県川崎市幸区中幸町2-2-9プラウドタワー703,33.24913,130.29876,36歳,女,R,1987-03-05,090-9765-8064,電車,140,1450,2450,4
望月 大,もちづき だい,東京都品川区荏原1-4-10,32.74425,129.87380,66歳,男,H,1957-05-08,090-0412-6530,バス,90,1750,2650,5
伊藤 健二,いとう けんじ,愛知県名古屋市守山区小幡1-3-3,32.78989,130.7411,7歳,男,J,2015-10-30,050-1414-0228,自転車,180,1650,2400,9
目黒 映子,めぐろ えいこ,愛知県名古屋市北区辻本通2-1-14セレブコート303,33.23826,131.61255,29歳,女,O,1994-03-08,090-8544-9245,徒歩,30,1650,2500,5
千代 哲也,ちよ てつや,奈良県奈良市大宮町2-5-22,31.91119,131.42394,67歳,男,L,1955-07-22,090-5216-0636,徒歩,30,2000,2900,2
石川 悟史,いしかわ さとし,大阪府大阪市東住吉区南田辺1-4-809,31.56097,130.55815,99歳,男,I,1924-02-19,050-3890-1604,徒歩,30,1900,2950,3
本庄 和弘,ほんじょう かずひろ,広島県呉市海岸4-1-6,26.21295,127.68121,84歳,男,E,1938-12-30,070-8835-4447,電車,40,1200,2650,1
柳生 哲明,やぎゅう てつあき,東京都豊島区西池袋2-3-20,34.97681,138.38371,95歳,男,E,1928-04-13,050-3057-6210,徒歩,70,1350,2100,1
岡 悠介,おか ゆうすけ,愛知県半田市白山町3-1-9,35.18022,136.90679,9歳,男,P,2013-11-13,050-7170-6152,自転車,130,1750,2800,4
松原 薫,まつばら かおる,宮崎県延岡市緑ケ丘1-3-3,34.73034,136.5086,19歳,男,S,2004-04-12,050-8715-8434,バス,100,1650,2150,9
高野 真里子,たかの まりこ,北海道帯広市東五条南3-4-11アーバンライフ802,35.00410,135.86840,16歳,女,C,2006-09-09,080-5772-3938,電車,30,1650,2200,2
篠原 康夫,しのはら やすお,東京都渋谷区千駄ヶ谷3-4-19,35.02183,135.75554,56歳,男,L,1966-12-31,080-1238-0092,バス,90,1300,2350,4
渡部 淳,わたなべ じゅん,埼玉県川口市青木3-2-3,34.68679,135.52724,40歳,男,R,1982-10-31,090-8195-5671,自転車,40,1250,2250,10
石井 裕二,いしい ゆうじ,東京都新宿区四谷1-3-803エフコート201,34.6918,135.18314,47歳,男,A,1976-03-06,090-2656-1253,電車,10,1200,2600,4
島尻 正和,しまじり まさかず,東京都練馬区春日町2-3-4,34.68511,135.83260,3歳,男,H,2020-02-25,070-9083-2379,電車,60,1850,2750,1
西村 晃之,にしむら てるゆき,北海道札幌市西区八軒十条西2-1-7,34.22652,135.16788,53歳,男,J,1970-05-14,070-3804-6436,電車,90,2000,2600,2
平松 有子,ひらまつ ゆうこ,愛知県名古屋市港区小碓3-3-6,35.50349,134.2383,41歳,女,M,1981-08-04,050-9134-8153,徒歩,100,1200,2950,1
小笠原 浩子,おがさわら ひろこ,東京都世田谷区世田谷3-5-6サニーフラット311,35.47215,133.05024,32歳,女,N,1990-06-11,070-9796-5760,徒歩,170,1250,2300,6
山本 文夫,やまもと ふみお,愛知県名古屋市西区大野木2-1-10,34.6619,133.93517,15歳,男,O,2008-03-06,090-0100-1314,自転車,100,1300,2650,8
梅田 美樹子,うめだ みきこ,千葉県成田市公津の杜2-4-8,34.39630,132.45955,35歳,女,G,1987-08-30,070-6817-7216,バス,150,1250,2050,5
竹内 良,たけうち りょう,熊本県熊本市東区小峯2-3-301パレスエクセル204,34.18580,131.47198,42歳,男,A,1980-11-13,080-5725-6498,徒歩,90,1350,2500,9
平 春夫,たいら はるお,兵庫県神戸市東灘区魚崎中町1-4-18,34.06527,134.55927,82歳,男,Q,1940-06-17,050-8762-6895,電車,160,1950,2550,5
石井 茂,いしい しげる,神奈川県横浜市中区南仲通2-3-9,34.34064,134.04316,75歳,男,K,1947-08-04,070-9653-3575,徒歩,90,1650,2350,9
木村 奈央子,きむら なおこ,東京都足立区中央本町2-4-106,33.84174,132.76613,86歳,女,P,1937-02-24,050-4333-0347,電車,170,1700,3000,4
吉澤 雄飛,よしざわ ゆうひ,福岡県福岡市博多区博多駅前1-2-19,33.55964,133.53189,86歳,男,M,1937-03-01,090-9386-9657,電車,110,1750,2800,8
池本 健博,いけもと たけひろ,千葉県市川市北方町2-1-10,33.60660,130.41874,26歳,男,H,1996-11-01,050-0811-2812,徒歩,80,1950,2250,9
久米 章宏,くめ あきひろ,福岡県福岡市西区姪の浜2-2-3,33.24965,130.29867,46歳,男,T,1977-04-08,070-7666-5761,バス,10,1200,2150,10
阿部 博司,あべ ひろし,大阪府吹田市山田東2-2-16,32.74422,129.87342,82歳,男,O,1941-02-21,090-0632-1921,徒歩,30,1550,3000,8
安田 亜弥,やすだ あや,北海道釧路市入舟2-3-7,32.78975,130.74129,78歳,女,C,1945-02-26,050-2710-5595,徒歩,110,1750,2600,7
長谷川 敏郎,はせがわ としろう,大阪府守口市梶町4-2-7,33.23857,131.61254,94歳,男,G,1928-09-08,080-4001-8641,自転車,130,1700,2950,6
小嶋 歩,こじま あゆみ,東京都港区芝2-3-22,31.91137,131.4233,38歳,男,P,1984-10-22,090-7666-4015,徒歩,40,1700,2150,9
益田 亮介,ますだ りょうすけ,東京都足立区西伊興3-3-4,31.56069,130.55832,98歳,男,K,1924-10-25,090-8300-7314,電車,170,1500,2450,10
宮野 朝美,みやの あさみ,大阪府柏原市大県1-1-17,26.21270,127.68147,97歳,女,Q,1925-12-06,070-1813-2357,徒歩,180,1950,2200,3
藤本 新太郎,ふじもと しんたろう,埼玉県北本市高尾1-1-5,34.97655,138.38336,44歳,男,F,1979-03-25,070-7254-8388,徒歩,180,1900,2400,4
新谷 和子,しんたに かずこ,東京都杉並区久我山4-1-10,35.18091,136.9064,49歳,女,I,1973-11-10,050-3146-4954,バス,170,1100,2900,3
大久保 明寛,おおくぼ あきひろ,兵庫県神戸市西区月が丘3-2-7,34.73098,136.50826,62歳,男,K,1961-02-26,070-9280-8546,徒歩,30,1200,2350,2
大橋 百恵,おおはし ももえ,東京都渋谷区恵比寿2-5-106,35.00410,135.86855,89歳,女,T,1933-12-23,050-0981-5675,自転車,110,1650,2950,1
松田 大介,まつだ だいすけ,愛知県名古屋市中村区名駅南3-3-7,35.02170,135.75558,95歳,男,H,1928-03-25,050-6699-7872,自転車,10,1300,2550,2
村上 光昭,むらかみ みつあき,東京都港区港南2-2-5,34.68625,135.52715,93歳,男,K,1929-10-28,050-4314-6040,自転車,130,1250,2950,1
高木 政光,たかぎ まさみつ,茨城県牛久市ひたち野西2-2-3,34.69124,135.18322,42歳,男,L,1980-09-30,050-6305-4136,バス,180,1250,2450,5
楠山 義信,くすやま よしのぶ,新潟県新発田市豊町1-3-608ニチモグリーンタウン713,34.68571,135.83227,68歳,男,E,1955-02-27,070-8646-2878,徒歩,110,1100,2150,6
吉田 暁,よしだ あき,東京都世田谷区野沢3-4-9,34.22673,135.16764,45歳,男,P,1977-09-14,050-5926-4786,電車,80,1100,2100,4
佐々木 尚史,ささき たかし,東京都葛飾区立石3-1-8アジュール701,35.50346,134.23898,75歳,男,D,1947-06-24,090-2708-2200,バス,30,1350,2800,1
山脇 一樹,やまわき かずき,東京都品川区東大井1-4-101,35.47212,133.05095,75歳,男,L,1947-06-19,050-5512-9223,電車,180,1400,2300,9
高橋 貴子,たかはし たかこ,神奈川県横浜市港南区日限山3-4-12,34.66176,133.93554,33歳,女,C,1990-05-13,090-7307-5022,バス,70,1700,2650,1
村井 つぐみ,むらい つぐみ,東京都渋谷区恵比寿3-2-5,34.39655,132.45991,62歳,女,L,1960-07-15,090-0772-0512,徒歩,60,1750,2950,1
野口 一之,のぐち かずゆき,東京都中央区日本橋本町2-3-1108,34.18556,131.4717,98歳,男,J,1924-09-17,070-1327-1946,徒歩,100,1600,2800,3
福田 和子,ふくだ かずこ,東京都台東区台東2-3-6,34.06593,134.55979,49歳,女,S,1973-11-12,050-7589-2807,バス,150,1850,2150,8
設楽 香織,したら かおり,茨城県取手市新町1-1-13,34.34088,134.04399,77歳,女,R,1946-03-08,080-7751-4972,自転車,50,1650,2700,8
神田 貴,かんだ たかし,東京都渋谷区千駄ヶ谷3-5-10,33.84170,132.76688,100歳,男,B,1923-02-18,080-2033-6584,バス,140,1800,2450,3
高橋 一晃,たかはし かずあき,東京都港区虎ノ門3-4-16,33.55950,133.53170,35歳,男,B,1988-03-18,070-1192-3445,徒歩,110,1200,2500,6
三浦 実,みうら みのる,東京都江東区東陽2-2-6シーサイドプレイス606,33.60654,130.41860,48歳,男,K,1974-12-31,050-7397-9613,自転車,40,1600,2350,9
羽鳥 芳弘,はとり よしひろ,北海道旭川市豊岡五条1-5-13ラジュール715,33.249100,130.2989,66歳,男,L,1957-05-09,050-1880-0127,バス,170,2000,2800,6
和田 晃二,わだ こうじ,東京都新宿区西新宿2-3-19,32.74418,129.8734,47歳,男,D,1975-07-04,090-7117-9666,バス,140,2000,2450,3
真柄 陽子,まがら ようこ,千葉県浦安市猫実2-4-19,32.78940,130.74186,0歳,女,G,2023-01-03,070-4136-8382,電車,30,1450,2050,10
山岡 智章,やまおか ともあき,福岡県福岡市東区多の津2-3-19ヴェルドール701,33.2387,131.61232,22歳,男,K,2000-08-04,080-8152-2559,電車,150,1550,2400,5
小山 真知子,こやま まちこ,大阪府大阪市中央区久太郎町4-3-9,31.91147,131.42361,86歳,女,P,1936-11-25,090-6552-0193,電車,170,1900,2450,10
富田 郁美,とみた いくみ,東京都足立区古千谷本町1-1-17ディオフェルティ107,31.56098,130.55822,41歳,女,L,1981-10-01,090-1106-4876,自転車,180,1400,3000,4
中森 和樹,なかもり かずき,東京都江東区北砂3-3-10,26.2122,127.68151,62歳,男,K,1961-01-26,070-5342-7777,徒歩,160,1300,2350,2
棚橋 智彦,たなはし ともひこ,東京都杉並区高円寺北1-4-8,43.06432,141.34691,1歳,男,G,2021-10-10,070-6146-9479,徒歩,10,1350,2350,2
増田 俊弘,ますだ としひろ,千葉県流山市南流山3-1-22,40.82489,140.74361,21歳,男,N,2001-08-08,050-3494-8447,徒歩,160,1750,2450,2
加藤 かずえ,かとう かずえ,岐阜県瑞浪市一色町1-2-7ベルレーヴ105,39.70364,141.1524,58歳,女,P,1964-08-21,050-4413-0642,電車,80,1600,2600,3
川又 雄一,かわまた ゆういち,東京都港区虎ノ門1-2-9,38.26873,140.87178,78歳,男,I,1944-12-29,090-1930-0338,徒歩,40,1800,2850,5
伊藤 聡子,いとう さとこ,大阪府大阪市鶴見区浜2-5-1109,39.71898,140.10246,88歳,女,K,1934-12-29,090-6731-9804,バス,170,1100,2350,8
井戸 秀,いど ひで,北海道札幌市南区澄川三条2-1-9,38.24084,140.36358,17歳,男,J,2006-01-18,070-4524-1581,徒歩,170,1400,2850,10
柴村 勇人,しばむら はやと,石川県金沢市湊1-4-18,37.75165,140.46754,1歳,男,C,2021-10-09,090-7377-7635,バス,110,1400,2500,9
内藤 善久,ないとう よしひさ,大阪府大阪市平野区平野東3-4-10,36.34158,140.44667,3歳,男,H,2020-01-12,080-3025-7726,電車,70,1150,2950,10
佐藤 由紀子,さとう ゆきこ,広島県廿日市市阿品1-2-3,36.5652,139.88345,85歳,女,H,1937-08-30,050-3205-1470,電車,80,1150,2200,5
川井 健一,かわい けんいち,福岡県大野城市白木原4-1-4グランスイート206,36.39116,139.06045,26歳,男,K,1996-09-14,070-3866-4039,徒歩,10,1950,2500,8
井上 隆行,いのうえ たかゆき,愛知県名古屋市天白区元八事1-3-17,35.85698,139.6488,27歳,男,F,1995-08-26,090-0401-4017,自転車,10,1650,2250,1
杉村 慎吾,すぎむら しんご,兵庫県神戸市中央区港島中町4-2-6,35.60467,140.12340,8歳,男,P,2014-11-21,080-3761-4448,自転車,40,1300,2950,5
田岡 久美子,たおか くみこ,東京都千代田区飯田橋2-2-7,35.68917,139.69144,72歳,女,E,1950-12-14,050-7335-9596,徒歩,60,1450,2750,7
徳永 泰行,とくなが やすゆき,愛知県弥富市五明3-5-21,35.44737,139.64211,6歳,男,D,2016-08-24,090-7200-0813,電車,80,1050,2900,2
篠原 高史,しのはら たかふみ,山形県山形市桧町4-1-7,37.902100,139.02373,47歳,男,E,1976-02-06,080-2084-0208,自転車,30,1950,2050,1
椎名 聡子,しいな さとこ,東京都渋谷区神宮前1-3-7,36.69558,137.21168,95歳,女,P,1927-08-23,090-0171-5789,電車,150,1800,2900,7
杉浦 寿子,すぎうら ひさこ,東京都港区赤坂2-3-11セラ705,36.59461,136.62544,24歳,女,J,1999-04-03,090-2505-1509,徒歩,100,1400,2150,5
佐々木 和哉,ささき かずや,静岡県富士市吉原1-2-5,36.06590,136.2217,19歳,男,J,2003-06-28,050-2469-6425,電車,90,1550,2250,6
井川 詩子,いかわ うたこ,神奈川県横浜市鶴見区栄町通1-1-8アインス604,35.66329,138.5688,30歳,女,E,1992-09-29,050-4694-2165,自転車,160,1550,2450,9
藤平 潤也,ふじひら じゅんや,東京都中央区月島1-2-5,36.65189,138.18159,92歳,男,K,1930-07-18,070-4118-2032,バス,60,1600,2400,6
石野 一範,いしの かずのり,北海道北斗市七重浜3-1-18,35.39184,136.722100,33歳,男,O,1990-04-05,070-3778-9470,バス,140,1700,2350,7
森川 直樹,もりかわ なおき,大阪府大阪市都島区東野田町3-1-1207,34.97616,138.38361,38歳,男,H,1985-04-17,090-0867-5932,バス,180,1350,2650,5
吉田 豊,よしだ ゆたか,東京都中央区八丁堀2-4-22,35.18017,136.90675,15歳,男,R,2007-08-13,090-0288-3304,徒歩,130,1250,3000,10
村田 義和,むらた よしかず,東京都荒川区東尾久4-2-8,34.73081,136.50822,50歳,男,N,1973-05-25,050-9345-0647,徒歩,70,1150,2300,2
佐藤 康文,さとう やすふみ,大阪府大阪市中央区北久宝寺町1-3-5,35.00447,135.86852,36歳,男,K,1986-11-12,070-8520-8627,徒歩,50,1800,2200,8
寺田 愛,てらだ あい,大阪府大阪市大正区平尾2-2-4,35.02153,135.75539,6歳,女,H,2016-06-11,050-9844-3396,バス,100,1600,2500,2
岡本 直樹,おかもと なおき,埼玉県川口市安行出羽1-3-8,34.68669,135.52766,64歳,男,J,1958-09-30,070-9780-3997,徒歩,170,1700,2850,10
砂田 理香子,すなだ りかこ,東京都台東区元浅草2-5-4,34.69116,135.18347,66歳,女,F,1956-09-11,050-4115-4411,バス,20,1650,2400,9
吉村 美紀,よしむら みき,東京都新宿区北新宿3-1-9,34.68529,135.83280,30歳,女,F,1993-05-27,090-3615-8163,徒歩,10,1750,2350,6
加藤 浩司,かとう ひろし,大阪府大阪市中央区南船場3-3-1202ベリスタ509,34.22672,135.16778,45歳,男,A,1977-09-03,070-3027-0687,自転車,170,1700,2450,7
岡元 美和,おかもと みわ,東京都目黒区碑文谷4-3-5,35.50377,134.23857,89歳,女,K,1934-02-19,070-3098-9628,自転車,100,1850,2550,8
酒井 真由子,さかい まゆこ,北海道札幌市北区北十五条西1-1-4,35.47269,133.0509,96歳,女,L,1926-12-16,070-1174-0153,バス,130,1150,2400,6
井上 匡,いのうえ ただし,北海道札幌市清田区平岡五条2-2-10,34.66110,133.93560,18歳,男,N,2004-10-28,080-0213-9073,電車,60,1650,2400,3
藤吉 紀恵,ふじよし のりえ,東京都練馬区平和台1-2-9,34.39610,132.45990,89歳,女,D,1934-02-13,050-2028-5246,自転車,70,1300,2900,1
田中 和哉,たなか かずや,青森県弘前市大字城東2-1-3,34.18545,131.47183,66歳,男,N,1956-12-13,050-8453-4191,電車,40,1450,3000,9
望月 喜久子,もちづき きくこ,福岡県福岡市博多区中洲3-1-4リビオ809,34.06563,134.55916,23歳,女,T,2000-02-04,070-5105-6314,バス,60,1650,2800,1
白川 巌,しらかわ いわお,北海道札幌市南区澄川一条2-2-4,34.34097,134.04343,88歳,男,F,1934-11-11,090-0376-5138,徒歩,120,1350,2250,8
黒田 宏明,くろだ ひろあき,大阪府大阪市福島区鷺洲2-5-4,33.8417,132.76614,93歳,男,N,1930-02-20,070-7450-4322,電車,90,1250,2800,5
松浦 哲也,まつうら てつや,東京都杉並区上荻1-1-5,33.55993,133.53174,60歳,男,T,1963-04-28,070-0932-1744,電車,140,2000,2950,9
及川 リサ,おいかわ りさ,神奈川県鎌倉市梶原1-3-17,33.60661,130.41819,64歳,その他・不明,T,1959-04-24,050-3422-7297,電車,180,1200,2550,6
佐藤 正治,さとう せいじ,東京都墨田区江東橋1-2-6,33.24949,130.29877,20歳,男,M,2002-09-19,080-6864-3702,自転車,20,1950,2150,8
岸本 淳一,きしもと じゅんいち,兵庫県宝塚市高司3-3-5,32.74464,129.87320,9歳,男,L,2013-07-12,050-9935-2309,電車,20,1950,2350,9
松永 清香,まつなが さやか,北海道札幌市手稲区前田四条3-4-19,32.78980,130.74111,58歳,女,A,1964-09-14,070-7663-4721,バス,50,1200,2850,5
福田 あさ子,ふくだ あさこ,兵庫県尼崎市東園田町3-5-7,33.23824,131.6129,21歳,女,P,2001-10-25,080-7138-3834,徒歩,10,1600,2550,6
室屋 智弘,むろや としひろ,千葉県市川市新田3-2-20セイワパレス701,31.91112,131.42313,89歳,男,C,1934-02-25,070-3569-9325,徒歩,80,1850,2750,1
石川 絵里子,いしかわ えりこ,福岡県大牟田市大正町1-5-1005,31.5601,130.55877,64歳,女,E,1959-02-04,070-0014-3320,電車,100,1600,2150,5
大野 隆明,おおの たかあき,東京都文京区千石1-4-20,26.21222,127.68140,10歳,男,J,2012-06-18,050-4102-2381,徒歩,100,1400,2150,4
中川 正昭,なかがわ まさあき,東京都世田谷区太子堂1-3-9,34.97618,138.38324,2歳,男,I,2021-01-12,080-7145-8658,電車,180,1900,2900,5
横田 直人,よこた なおと,福井県福井市文京3-4-16,35.18020,136.90682,12歳,男,S,2011-04-01,070-4669-4876,バス,40,1150,2850,9
石 詩乃,いし しの,愛知県日進市香久山1-2-4,34.73025,136.50832,1歳,女,Q,2022-04-29,080-7440-7657,電車,70,1800,2800,2
麓 久乃,ふもと ひさの,茨城県牛久市上柏田2-3-8,35.0043,135.86815,37歳,女,Q,1985-06-15,090-7797-7702,徒歩,70,2000,2900,3
露口 隆明,つゆぐち たかあき,愛知県名古屋市千種区今池2-2-17,35.02129,135.7558,38歳,男,N,1984-07-29,050-7540-7450,電車,40,1900,2150,9
和田 充,わだ みつる,新潟県新潟市中央区沼垂東4-2-8プラウドシティ116,34.68647,135.5271,47歳,男,B,1975-09-25,080-5008-2589,バス,160,1800,2950,1
押田 貴史,おしだ たかし,福岡県春日市春日原南町1-3-8,34.69140,135.18359,40歳,男,B,1982-08-24,080-5948-8364,バス,180,1500,2100,6
佐多 一茂,さた かずしげ,東京都千代田区飯田橋2-3-709,34.68555,135.83279,24歳,男,T,1999-03-13,070-8828-5086,自転車,120,1050,2200,4
植田 弘幸,うえだ ひろゆき,東京都町田市南成瀬1-1-801オリエント615,34.22644,135.16773,32歳,男,N,1990-09-29,080-5331-4719,電車,100,1300,2900,9
山下 ちひろ,やました ちひろ,東京都港区虎ノ門1-5-102,35.50373,134.23896,96歳,女,P,1927-03-24,090-9772-5674,バス,80,1800,2050,9
滝口 真史,たきぐち まさし,大阪府大阪市北区西天満3-3-7,35.47219,133.05078,91歳,男,G,1932-01-21,070-3705-8225,自転車,150,1400,2600,2
三好 淳,みよし じゅん,東京都中野区江古田3-2-6,34.6616,133.9352,5歳,男,L,2017-12-16,070-4833-9525,徒歩,180,1050,2700,3
山川 力,やまかわ つとむ,兵庫県神戸市長田区菅原通2-2-6,34.39626,132.45945,39歳,その他・不明,J,1983-06-26,070-9169-3488,電車,90,1400,2450,6
岡田 千絵美,おかだ ちえみ,東京都中央区八丁堀3-2-8,34.18537,131.47124,75歳,その他・不明,K,1947-11-15,090-7537-5472,自転車,100,1950,2250,4
吉田 さやか,よしだ さやか,神奈川県横浜市旭区笹野台1-3-3,34.06569,134.55951,87歳,女,D,1935-07-02,090-5414-2171,徒歩,140,1250,2750,3
近藤 修弘,こんどう のぶひろ,大阪府大阪市中央区南船場3-2-11,34.34081,134.04364,43歳,男,T,1980-04-14,070-2382-7874,バス,110,1050,3000,8
平林 正典,ひらばやし まさのり,東京都小金井市緑町4-3-8,33.8419,132.76648,23歳,男,G,2000-04-07,070-5762-0390,自転車,90,1400,2250,7
外薗 唯,ほかぞの ゆい,大阪府豊中市緑丘2-3-5,33.55966,133.53169,45歳,女,L,1977-11-17,070-5919-6425,自転車,60,1450,2550,8
塩塚 祐子,しおつか ゆうこ,愛知県名古屋市昭和区広路通2-3-5,33.60698,130.41831,12歳,その他・不明,F,2010-06-26,050-3897-1778,電車,120,1850,2100,8
永田 絵理奈,ながた えりな,山梨県甲府市上石田2-2-22,33.24943,130.29860,43歳,女,A,1980-03-21,080-4864-0647,自転車,30,1200,2400,8
村田 宏晃,むらた ひろあき,宮城県名取市閖上1-2-13,32.74423,129.87396,57歳,男,E,1966-05-02,050-3607-2711,電車,110,1800,2800,2
小西 清志,こにし きよし,北海道札幌市北区北二十五条西1-3-309サンクレイドル201,32.78928,130.74160,94歳,男,G,1929-05-16,080-3433-2458,電車,140,1600,2300,8
本田 まい子,ほんだ まいこ,東京都世田谷区上馬2-2-12ジョイフル809,33.23822,131.61231,34歳,女,O,1989-01-08,090-5837-3346,バス,180,1750,2500,8
人見 勇一,ひとみ ゆういち,神奈川県横浜市南区別所2-3-19ダイナシティ616,31.91195,131.4237,92歳,男,H,1930-07-04,090-1405-3756,徒歩,130,1400,2550,4
菊地 直樹,きくち なおき,東京都町田市つくし野3-3-9,31.56053,130.55857,52歳,その他・不明,F,1971-06-05,090-4506-6965,自転車,50,1350,2800,4
藤井 和則,ふじい かずのり,大阪府富田林市若松町1-4-22,26.21265,127.68189,93歳,男,A,1929-12-22,050-5049-0729,自転車,80,1650,2500,8
石井 智子,いしい ともこ,東京都江戸川区一之江3-5-1006,34.97646,138.38377,14歳,女,H,2008-09-12,090-9580-4640,電車,160,1650,2900,1
阿比留 一博,あびる かずひろ,福岡県大牟田市大正町1-5-1005,35.18041,136.90692,55歳,男,I,1968-03-18,090-7363-7704,徒歩,140,1900,2050,2
和田 勝,わだ まさる,東京都練馬区関町南1-2-6,34.73055,136.50830,47歳,男,J,1976-05-24,080-1882-9456,電車,50,1250,2200,10
小川 秀明,おがわ ひであき,東京都北区赤羽西1-4-14,35.00444,135.86831,39歳,男,F,1983-08-08,070-1023-1331,電車,40,1650,2950,9
安池 孝,やすいけ たかし,東京都中央区銀座2-2-7キングマンション708,35.02179,135.75592,95歳,男,D,1928-01-02,080-7289-3074,徒歩,70,1850,2050,6
高橋 みどり,たかはし みどり,兵庫県尼崎市杭瀬南新町1-3-3,34.68675,135.52774,44歳,女,E,1978-10-11,070-2162-6021,徒歩,140,1150,2750,8
堀内 修一,ほりうち しゅういち,兵庫県神戸市中央区北長狭通2-3-10シティタワー809,34.69115,135.18369,77歳,男,G,1945-09-27,070-1093-5617,電車,10,1400,2100,6
中村 江里,なかむら えり,福岡県福岡市早良区飯倉1-5-21,34.68528,135.83270,31歳,女,P,1991-12-03,090-1011-3036,電車,70,1650,2200,9
南 孝,みなみ たかし,愛知県一宮市三ツ井2-2-506,34.22626,135.16749,76歳,男,L,1946-12-06,050-7881-5106,徒歩,90,1300,2650,8
小池 博之,こいけ ひろゆき,東京都杉並区南荻窪1-3-9,35.50387,134.23822,86歳,男,L,1937-03-20,080-0838-4654,バス,10,1750,2400,4
